26.75	22.15	1
29.8	22.15	1
31.55	21.1	1
27.7	20.85	1
29.9	19.95	1
26.8	19.05	1
28.35	18.25	1
30.4	17.85	1
27.25	16.7	1
29.05	16	1
27.15	14.85	1
28.2	13.95	1
30.35	13.85	1
27.25	11.95	1
29.45	12.05	1
31.55	12.2	1
33.05	10.65	1
29.95	9.85	1
28	9.75	1
27.15	7.85	1
29.15	8.1	1
31.95	8.6	1
34.7	8.55	1
34.8	12.25	1
36.3	15.25	1
36.6	13.2	1
38.7	14.25	1
40.3	15.5	1
42.25	14.25	1
40.7	12.8	1
38.6	12.1	1
36.1	10.5	1
38.35	10.4	1
37.65	8.4	1
40.15	8.55	1
40.8	10.65	1
42.9	11.25	1
41.95	8.5	1
42.45	17.45	1
40.25	18.45	1
42.55	19.45	1
40.95	20.65	1
42.25	22.15	1
38.85	22.4	1
38.4	20	1
35.25	20.2	1
33.25	21	1
34.15	22.35	1
35.55	22.5	1
36.55	21.4	1
33.35	19.6	2
32.85	19.55	2
32.4	19.15	2
32.45	18.7	2
32.8	18.9	2
33.2	19.2	2
33.7	19.05	2
33.4	18.75	2
33.05	18.5	2
32.8	18.2	2
34	18.7	2
33.85	18.25	2
33.35	18.15	2
32.8	17.7	2
33.15	17.55	2
33.75	17.75	2
34.15	17.85	2
34.35	18.35	2
34.95	18.5	2
34.75	18.05	2
35.15	18.05	2
35.65	18.15	2
35.45	18.7	2
36.05	18.75	2
36.25	18.2	2
36.6	18.7	2
37.1	18.5	2
36.75	18.1	2
37.65	18.3	2
37.15	17.85	2
37.65	17.75	2
38.05	18.1	2
38.45	17.7	2
38.8	17.3	2
38.2	17.25	2
38.6	16.8	2
38.25	16.35	2
37.9	16.85	2
37.5	17.3	2
37.65	16.4	2
37.15	16.7	2
37	17.15	2
36.6	17.4	2
36.15	17.55	2
35.75	17.65	2
36.6	16.9	2
36.05	16.95	2
35.45	17	2
35.3	17.55	2
34.9	17	2
34.75	17.45	2
34.3	17.35	2
34.3	16.8	2
33.9	17.2	2
33.35	17.05	2
32.85	16.95	2
33.55	16.6	2
34	16.4	2
32.45	17.2	2
32.1	16.85	2
31.7	16.65	2
31.2	16.35	2
30.95	15.75	2
31.15	15.35	2
31.45	15.1	2
31.75	14.7	2
32.15	14.35	2
32.65	14.15	2
33.15	14.05	2
33.8	13.9	2
34.35	14.2	2
34.3	14.85	2
34.05	15.35	2
33.9	15.95	2
33.35	16.05	2
33	16.5	2
32.45	16.6	2
31.95	16.25	2
31.5	15.85	2
31.75	15.4	2
32.15	15.8	2
32.55	16.1	2
32.9	15.7	2
32.55	15.4	2
32.05	15.2	2
32.5	14.8	2
33	15.25	2
33.5	15.6	2
33.6	15.05	2
32.9	14.7	2
33.3	14.5	2
33.8	14.5	2
9.2	22.35	3
10.9	22.35	3
12.45	22.3	3
13.95	22.05	3
14.65	20.3	3
13.15	20.8	3
11.6	20.95	3
10.25	21.25	3
9.2	20.8	3
8.05	21.55	3
7.15	19.9	3
8.55	20	3
8.5	19.2	3
7.35	18.3	3
8.25	16.65	3
8.95	18	3
9.6	18.85	3
9.65	19.75	3
10.2	20.25	3
10.9	20.3	3
12.15	20	3
11.25	19.75	3
10.8	19.6	3
10.4	19.55	3
10.65	19.35	3
10.3	19.15	3
10.95	19.1	3
10.6	18.85	3
10.05	18.1	3
10.35	16.9	3
10.05	15.9	3
11.15	18.1	3
12.1	18.75	3
13.2	19.2	3
11.5	17.1	3
12.65	17.65	3
14.45	18.35	4
13.9	16.7	3
12.6	15.8	3
15.95	20.75	4
16.95	21.6	4
17.9	21.95	4
19	22.7	4
20.45	22.75	4
19.1	21.7	4
20.4	21.4	4
21.95	21.9	
